company_name,website,company_type,product_category,business_email,business_phone,whatsapp,contact_person,designation,product_fit_score,import_activity_score,company_size_score,market_relevance_score,recent_activity_score,decision_maker_score,total_score,lead_bucket,buyer_probability,import_probability,product_relevance,company_size,market_relevance,recent_activity,decision_maker_status,qualification_status,qualification_error,reason,recommended_action,evidence
Керамическая плитка и керамогранит оптом – купить в ...,https://spb.tesser.ru/content/dlya_optovikov/,UNKNOWN,Porcelain & Ceramic Tiles,spb@tesser.ru,78124077008.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
КЕРАМОГРАНИТ купить в Москве оптом и в розницу. ...,https://www.ceram-kioto.ru/catalog/keramogranit/,UNKNOWN,Porcelain & Ceramic Tiles,ceram-kioto@mail.ru,74955893685.0,79672454514.0,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Контакт-М (Contact-M),https://kontact-m.ru/wholesalers/,UNKNOWN,Porcelain & Ceramic Tiles,koroleva@kontact-m.ru,79057797711.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Топ 10 российских компаний по производству ...,https://kirovstroysnab.ru/articles/reyting/top-10-rossiyskikh-kompaniy-po-proizvodstvu-keramogranita-v-2023/,UNKNOWN,Porcelain & Ceramic Tiles,sale@kirovstroysnab.ru,NOT_FOUND,NOT_FOUND,Пестова Александра Викторовича,CEO / General Director,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Home,http://investceramic.ru/home-en,UNKNOWN,Porcelain & Ceramic Tiles,info@investceramic.ru,78002503590.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Официальный дилер завода керамической плитки TUBADZIN,https://tubadzin.ru/,UNKNOWN,Porcelain & Ceramic Tiles,mail@tubadzin.ru,78007079880.0,79857659819.0,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Estima,https://estima.ru,UNKNOWN,Porcelain & Ceramic Tiles,logistikkursk@skvirel-group.ru,74957756040.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Tile Oliva Ceramic Buy in Moscow,https://www.lineceramic.ru/en/hand-made-ceramic-tiles/oliva-tile-clone/?srsltid=AfmBOooO80_vfTsT8KPQsPiOB3u9M94DRgFp5ybKf1fVK0UY8PL-0zmH,UNKNOWN,Porcelain & Ceramic Tiles,sales@lineceramic.ru,79043558800.0,NOT_FOUND,General Director,CEO / General Director,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Laparet: керамическая плитка и керамогранит от ...,https://laparet.ru/,UNKNOWN,Porcelain & Ceramic Tiles,info@laparet.ru,78005507899.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Cersanit Russia,https://cersanit.ru,UNKNOWN,Porcelain & Ceramic Tiles,report@cersanit.ru,79150602036.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
ТЕССЕР (Tesser),https://tesser.ru,UNKNOWN,Porcelain & Ceramic Tiles,info@tesser.ru,74954119977.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Gracia Ceramica,https://graciaceramica.com,UNKNOWN,Porcelain & Ceramic Tiles,info@graciaceramica.com,78636269456.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Creto,https://creto.ru,UNKNOWN,Porcelain & Ceramic Tiles,shop@creto.ru,74950858220.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Союз Керамика (Soyuz Ceramica),https://soyuzceramica.ru,UNKNOWN,Porcelain & Ceramic Tiles,shop@soyuzceramica.ru,74951179717.0,79688337208.0,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Керамогранит оптом от производителя купить в Санкт ...,https://www.c-s-g.ru/keramogranit/sankt-peterburg,UNKNOWN,Porcelain & Ceramic Tiles,granite-tile@c-s-g.ru,74997027004.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
"Top 185+ Best Ceramic Tiles Dealer In Moscow, Russia",https://pvrmines.com/tiles-in-saint-petersburg/,UNKNOWN,Porcelain & Ceramic Tiles,NOT_FOUND,78124082968.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Onetouch Ceramica,https://onetouchceramica.ru,UNKNOWN,Porcelain & Ceramic Tiles,onetouchceramica@mail.ru,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
"Collab Opportunity for Tile Retailers, Builders & Architects ...",https://www.ramirro.com/collaboration-opportunity-for-tile-retailers-builders-architects-in-russia-premium-porcelain-ceramic-tiles/,UNKNOWN,Porcelain & Ceramic Tiles,info@ramirro.com,NOT_FOUND,NOT_FOUND,Ramirro Ceramica,Export Manager,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Top-Grade Ceramic and Porcelain Tile Solutions for Russia,https://faceimpex.com/globally-presenting/top-grade-ceramic-and-porcelain-tile-solutions-for-russia/,UNKNOWN,Porcelain & Ceramic Tiles,info@faceimpex.com,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
MOSCOW,https://www.kourasanit.com/en/showrooms/moscow,UNKNOWN,Porcelain & Ceramic Tiles,kourasanitrussia@gmail.com,79850788488.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Nt Ceramic,https://ntceramic.ru,UNKNOWN,Porcelain & Ceramic Tiles,info@ntceramic.ru,78007002873.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Kerranova (Samarskiy Stroyfarfor),https://kerranova.ru,UNKNOWN,Porcelain & Ceramic Tiles,info@kerranova.ru,78462334522.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
